ID,Yanlış Adres,Olması Gereken Adres,Hata Sebebi,Duplicate ID,Açık Adres,,,Bu şehirde çalışanlar(Maksimum 4 kişi),Asi Nehrine göre Hatay'ın Batısı Cumhuriyet Caddesi'nin Kuzeyi
83152,https://goo.gl/maps/n1tFZuCSQgEYLJv59,https://goo.gl/maps/XzivioXL5d2Pv3aE9,Twitte belirtilen adres ile gidilen adres farklı,,,,,1- ,
450006,"https://www.google.com/maps/@36.954006,36.2428475,22z",https://goo.gl/maps/oLTzngktjfXox9SS6,Twitte belirtilen adres ile gidilen adres farklı,,,,,,
553808,"https://www.google.com/maps/@36.3670929,35.9126413,22z",https://goo.gl/maps/exmAa26j9FUrQxQ8A,,,Hüyük mah. İstiklal Cad. No:21 Arsuz Hatay,,,,
588811,"https://www.google.com/maps/@36.3693329,35.9151181,22z",https://goo.gl/maps/tr7ECuE9n68XVZAi8,,,,,,,
593330,"https://www.google.com/maps/@36.388927,35.916277,22z",https://goo.gl/maps/khU5iHWxqPB9tNtC7,,,,,,,
336418,"https://www.google.com/maps/@36.4333552,35.9209689,22z",https://goo.gl/maps/RhGVuwFHTNYeCRnB7,,,,,,,
336597,"https://www.google.com/maps/@36.4333552,35.9209689,22z",https://goo.gl/maps/RhGVuwFHTNYeCRnB7,,,,,,,
339242,"https://www.google.com/maps/@36.4333552,35.9209689,22z",https://goo.gl/maps/RhGVuwFHTNYeCRnB7,,,,,,,
91409,"https://www.google.com/maps/@36.432938,35.9217707,22z",https://goo.gl/maps/RhGVuwFHTNYeCRnB7,,,,,,,
343306,"https://www.google.com/maps/@36.4327618,35.9217585,22z",https://goo.gl/maps/RhGVuwFHTNYeCRnB7,,,,,,,
337259,"https://www.google.com/maps/@36.4327618,35.9217585,22z",https://goo.gl/maps/RhGVuwFHTNYeCRnB7,,,,,,,
75817,"https://www.google.com/maps/@36.432938,35.9217707,22z",https://goo.gl/maps/RhGVuwFHTNYeCRnB7,,,,,,,
338603,"https://www.google.com/maps/@36.442637,35.9112778,22z",https://goo.gl/maps/RhGVuwFHTNYeCRnB7,,,,,,,
342732,"https://www.google.com/maps/@36.442637,35.9112778,22z",https://goo.gl/maps/RhGVuwFHTNYeCRnB7,,,,,,,
341622,"https://www.google.com/maps/@36.442637,35.9112778,22z",https://goo.gl/maps/RhGVuwFHTNYeCRnB7,,,,,,,
339606,"https://www.google.com/maps/@36.442637,35.9112778,22z",https://goo.gl/maps/RhGVuwFHTNYeCRnB7,,,,,,,
334339,"https://www.google.com/maps/@36.4494545,35.9307536,22z",https://goo.gl/maps/RhGVuwFHTNYeCRnB7,,,,,,,
342130,"https://www.google.com/maps/@36.4638695,35.9968806,22z",https://goo.gl/maps/9muRfzdwRYxQJbjUA,,,,,,,
97242,"https://www.google.com/maps/@36.5550968,36.1194725,22z",https://goo.gl/maps/TkKg9LeyxZC6CPnAA,,,,,,,
